A	pat120701_1, 	82190551.0	4240590925.54	493.047665039	-488879.875335	17851.2750305
B	pat120701_0, pat120703_1, 	82091205.5	4053091988.86	495.216447237	-495371.697596	18132.9084183
C	pat120701_3, pat120703_3, 	94381567.0	3944680968.76	494.924713853	-494671.197236	13713.5260759
D	pat120701_2, pat120703_3, 	96453233.0	3898732249.88	495.438152414	-495824.717306	13468.3572691
E	[ - ]	94834540.0	4467182150.37	520.285498549	-558051.795416	20175.2436268
F	pat120701_1, 	82190551.0	4240590925.54	493.047665039	-488879.875335	17851.2750305
G	pat120703_3, pat120706_3, 	102137493.5	4281775612.66	496.011303466	-501507.58422	12680.7864777
H	pat120701_2, pat120701_3, pat120703_2, pat120706_3, 	97982978.75	4196976707.15	499.603273328	-507457.54272	13601.8325049
I	pat120704_3, 	93027507.0	5914622626.68	537.854999047	-607166.76889	21436.2539521
J	[ - ]	105451612.0	6065735595.32	532.681893817	-594234.108537	15825.8595094
K	[ - ]	83713011.0	5774560392.99	515.890492256	-551095.7866	20303.2917901
L	pat120704_0, 	102629225.0	5803349290.03	551.686505182	-643877.908734	22398.9063385
M	[ - ]	113923128.0	7159917409.35	566.004416944	-693053.881942	18973.3715798
N	[ - ]	95075892.0	8590300297.34	574.657289173	-716750.960954	26499.8284824
O	[ - ]	115425472.0	8234637594.42	587.166926862	-752254.237936	21051.7918908
P	[ - ]	106053087.0	7080325236.38	587.822252046	-754237.996206	26700.9316147
Q	[ - ]	77178832.0	2275207838.19	394.599797263	-320916.615113	6222.90619167
R	[ - ]	48223839.0	3187436907.28	391.747367573	-317399.736094	12077.7721017
S	[ - ]	66643935.0	3896576026.41	495.264575757	-507644.770851	19890.2766333
T	pat120703_2, pat120703_3, pat120706_7, 	104287879.333	4418373266.3	505.418905174	-522175.97552	13407.3299471
U	[ - ]	125261634.0	6024601298.52	548.459661233	-640421.137364	14743.7995883
V	[ - ]	102344297.0	7906861785.95	563.613342638	-681220.808905	22465.0252097
W	[ - ]	160008736.0	8818700539.68	609.903271019	-818734.30933	18962.9993241
X	pat120706_3, 	106258530.0	4519235799.46	497.824266182	-508650.577772	12570.0091831
Y	[ - ]	111702380.0	4377684416.48	528.545173093	-579809.749799	17926.260264
