Pattern Base 	 Pattern Reference 	 Contrast 	 Correlation 	Energy 	Entropy 	Homogeneity 	SUM 	 SQRT(SUM):L2
pat120701_1	pat120701_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pat120701_1	pat120704_0	0.0174875076395	0.0269113300483	0.00889930527815	0.0328491857933	0.0409785582789	0.127125887038	0.35654717365
pat120701_1	pat120704_3	0.00491628559748	0.0308801111121	0.00519617263045	0.0191313442606	0.0254659212924	0.0855898348931	0.292557404441
pat120701_1	pat120705_0	0.0421534542984	0.0939110794943	0.0137757845866	0.0569997743193	0.00249486260246	0.209334955301	0.457531370838
pat120701_1	pat120705_2	0.0462393569251	0.175783362889	0.0229267442572	0.0948460456411	0.0202967460647	0.360092255777	0.60007687489
pat120701_1	pat120706_4	0.0776594066334	0.0350708465255	0.00794681226323	0.0314003170451	0.0191338158472	0.171211198314	0.413776749364
pat120701_1	pat120706_5	0.0170033324212	0.148115528486	0.0128876102674	0.0505842916754	0.0421788106645	0.270769573515	0.520355237808
pat120704_0	pat120701_1	0.0174875076395	0.0269113300483	0.00889930527815	0.0328491857933	0.0409785582789	0.127125887038	0.35654717365
pat120704_0	pat120704_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pat120704_0	pat120704_3	0.00385940519704	0.000136437489746	0.000495135778147	0.0018427565855	0.00183622190072	0.00816995695115	0.090387814174
pat120704_0	pat120705_0	0.00533962294616	0.0202784479047	0.000530572486204	0.00330657334656	0.0232510696281	0.0527062863116	0.229578497059
pat120704_0	pat120705_2	0.00685468832794	0.0651365002233	0.00325808872755	0.0160598360614	0.00359579701268	0.0949049103528	0.308066405752
pat120704_0	pat120706_4	0.0214429261371	0.000539418630464	2.69489152403e-05	1.63385513113e-05	0.116115095053	0.138140727287	0.371672876716
pat120704_0	pat120706_5	3.3985427967e-06	0.0487575293627	0.000368159458847	0.00190672614211	8.66237619307e-06	0.0510444758826	0.225930245613
pat120704_3	pat120701_1	0.00491628559748	0.0308801111121	0.00519617263045	0.0191313442606	0.0254659212924	0.0855898348931	0.292557404441
pat120704_3	pat120704_0	0.00385940519704	0.000136437489746	0.000495135778147	0.0018427565855	0.00183622190072	0.00816995695115	0.090387814174
pat120704_3	pat120704_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pat120704_3	pat120705_0	0.018278184172	0.0170881810023	0.00205080420293	0.010086215513	0.0120191434938	0.059522528384	0.243972392668
